X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
-77.002552292195,38.9056537338239,05008224,2023/04/15 00:01:51+00,EVENING,OTHERS,THEFT/OTHER,201 - 299 BLOCK OF M STREET NE,399778.82,137532.05,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 144,38.9056459446,-77.0025500075,NOMA,2023/04/14 23:14:00+00,2023/04/14 23:30:00+00,334100262,
-77.0175515760437,38.9085797060488,23067716,2023/05/01 17:59:18+00,DAY,OTHERS,THEFT F/AUTO,400 - 499 BLOCK OF O STREET NW,398477.89,137857,2,2G,3,308,Cluster 7,004801 3,004801,Precinct 18,38.9085719168,-77.0175492865,,2023/05/01 17:02:00+00,2023/05/01 18:00:00+00,334464333,
-76.969072638972,38.8578866471704,23067779,2023/05/01 21:55:51+00,EVENING,OTHERS,THEFT F/AUTO,2500 - 2699 BLOCK OF ALABAMA AVENUE SE,402684.54,132229.99,8,8B,7,702,Cluster 36,007502 2,007502,Precinct 134,38.8578788663,-76.9690703676,,2023/05/01 19:01:00+00,2023/05/01 19:19:00+00,334464334,
-77.0396694444698,38.9031516222377,23068462,2023/05/03 03:48:49+00,MIDNIGHT,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF CONNECTICUT AVENUE NW,396559.27,137255.04,2,2C,2,207,Cluster 6,010700 1,010700,Precinct 17,38.9031438349,-77.0396671484,GOLDEN TRIANGLE,2023/05/02 19:16:00+00,2023/05/02 19:33:00+00,334464335,
-77.0307900246924,38.8983191530386,23068708,2023/05/03 03:16:40+00,MIDNIGHT,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF G STREET NW,397329.29,136718.3,2,2C,2,209,Cluster 8,005802 2,005802,Precinct 129,38.8983113663,-77.0307877317,DOWNTOWN,2023/05/03 02:01:00+00,2023/05/03 02:38:00+00,334464336,
-76.9340889817048,38.8990378095016,23069224,2023/05/03 21:49:30+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,4621 - 4799 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,405717.65,136799.69,7,7C,6,602,Cluster 30,007804 1,007804,Precinct 98,38.899030019,-76.9340867188,,2023/05/03 21:07:00+00,2023/05/03 21:40:00+00,334464337,
-76.9805493210935,38.9061221987473,23069582,2023/05/04 18:12:05+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1200 - 1241 BLOCK OF 16TH STREET NE,401687.28,137584.23,5,5D,5,506,Cluster 23,008804 2,008804,Precinct 78,38.9061144086,-76.9805470432,,2023/05/03 20:00:00+00,2023/05/04 14:26:00+00,334464338,
-76.9759571090517,38.9130299339449,23069687,2023/05/04 17:06:06+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1700 - 1758 BLOCK OF BLADENSBURG ROAD NE,402085.39,138351.14,5,5C,5,506,Cluster 23,008804 2,008804,Precinct 76,38.9130221422,-76.9759548322,,2023/04/02 18:26:00+00,2023/05/04 16:00:00+00,334464339,
-76.9665993515077,38.8583572867119,23069872,2023/05/05 00:24:09+00,EVENING,OTHERS,BURGLARY,2800 - 2899 BLOCK OF DENVER STREET SE,402899.19,132282.31,7,7B,6,606,Cluster 35,007603 2,007603,Precinct 113,38.8583495057,-76.9665970809,,2023/05/04 21:00:00+00,2023/05/04 21:10:00+00,334464482,
-77.0436092614514,38.9099352176321,23069975,2023/05/05 00:40:53+00,EVENING,OTHERS,THEFT/OTHER,1300 - 1699 BLOCK OF CONNECTICUT AVENUE NW,396217.89,138008.23,2,2B,2,208,Cluster 6,004202 1,004202,Precinct 14,38.9099274291,-77.0436069637,DUPONT CIRCLE,2023/05/04 23:45:00+00,2023/05/05 00:15:00+00,334464483,
-76.9949691754132,38.8903780814937,23070023,2023/05/05 04:35:34+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,1 - 99 BLOCK OF 8TH STREET NE,400436.65,135836.34,6,6A,1,108,Cluster 26,008100 3,008100,Precinct 85,38.8903702951,-76.994966894,,2023/05/04 21:30:00+00,2023/05/05 01:30:00+00,334464484,
-77.0604544408309,38.9420630030519,23068712,2023/05/03 02:20:51+00,EVENING,OTHERS,THEFT F/AUTO,2900 - 2999 BLOCK OF UPTON STREET NW,394759.24,141575.52,3,3F,2,203,Cluster 12,001303 3,001303,Precinct 34,38.9420552086,-77.0604521359,,2023/05/01 22:00:00+00,2023/05/02 12:00:00+00,334464521,
-77.0090553090754,38.9076505617592,23068839,2023/05/03 20:04:32+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1200 - 1499 BLOCK OF NORTH CAPITOL STREET,399214.79,137753.75,5,5E,3,308,Cluster 21,004600 1,004600,Precinct 19,38.9076427724,-77.0090530223,,2023/05/03 09:55:00+00,2023/05/03 09:57:00+00,334464522,
-77.0280125073289,38.96126685919,23069107,2023/05/04 00:10:00+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,GEORGIA AVENUE NW AND MISSOURI AVENUE NW,397572.3726357,143705.95920279,4,4E,4,403,Cluster 18,002002 2,002002,Precinct 54,38.9612590597,-77.0280102109,,2023/05/03 18:26:00+00,2023/05/03 19:00:00+00,334464523,
-76.9339734938081,38.8826962777237,23069646,2023/05/04 16:50:04+00,DAY,OTHERS,THEFT F/AUTO,4700 - 4809 BLOCK OF BENNING ROAD SE,405728.98,134985.66,7,7E,6,604,Cluster 33,009904 1,009904,Precinct 104,38.8826884906,-76.9339712319,,2023/05/04 14:22:00+00,,334464524,
-76.9243298075863,38.9045747401215,23070097,2023/05/05 05:53:55+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,1020 - 1023 BLOCK OF EASTERN AVENUE NE,406563.7,137414.99,7,7C,6,602,Cluster 31,007806 1,007806,Precinct 93,38.9045669482,-76.9243275473,,2023/05/05 02:59:00+00,,334464525,
-76.9751148317011,38.9172942137185,23070101,2023/05/05 05:43:36+00,MIDNIGHT,OTHERS,THEFT/OTHER,1800 - 2299 BLOCK OF NEW YORK AVENUE NE,402158.31,138824.53,5,5C,5,505,Cluster 22,011100 3,011100,Precinct 72,38.9172864211,-76.9751125549,,2023/05/05 05:06:00+00,,334464526,
-76.9995094317714,38.9031282689117,23070897,2023/05/06 12:11:40+00,DAY,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF 5TH STREET NE,400042.75,137251.7,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 83,38.9031204801,-76.9995071482,,2023/05/05 21:00:00+00,2023/05/06 10:30:00+00,334464527,
-76.9225161635822,38.8920752540258,23070957,2023/05/06 15:16:38+00,DAY,OTHERS,MOTOR VEHICLE THEFT,200 - 298 BLOCK OF 55TH STREET NE,406722.19,136027.58,7,7C,6,608,Cluster 31,007808 3,007808,Precinct 96,38.8920674645,-76.9225139047,,2023/05/06 13:59:00+00,2023/05/06 14:40:00+00,334464528,
-76.9829410580102,38.9031980106341,23071340,2023/05/07 05:38:09+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,1500 - 1598 BLOCK OF OATES STREET NE,401479.89,137259.58,5,5D,5,506,Cluster 23,008802 2,008802,Precinct 77,38.9031902212,-76.9829387796,,2023/05/07 03:20:00+00,2023/05/07 04:16:00+00,334464529,
-77.0020363659832,38.9218401956206,23071884,2023/05/08 03:37:58+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,2400 - 2499 BLOCK OF 3RD STREET NE,399823.61,139328.88,5,5F,5,502,Cluster 21,009203 2,009203,Precinct 74,38.9218324031,-77.0020340805,,2023/05/08 01:59:00+00,2023/05/08 03:38:00+00,334464530,
-76.9806494310862,38.9442391148412,23072104,2023/05/08 17:08:36+00,DAY,OTHERS,SEX ABUSE,1645 - 1799 BLOCK OF WEBSTER STREET NE,401677.7,141815.53,5,5B,4,405,Cluster 20,009503 2,009503,Precinct 67,38.944231317,-76.9806471509,,2023/05/08 14:15:00+00,2023/05/08 14:16:00+00,334464531,
-76.9510267863129,38.8849342488539,23072830,2023/05/09 19:43:31+00,EVENING,OTHERS,THEFT/OTHER,300 - 401 BLOCK OF 37TH PLACE SE,404249.22,135233.16,7,7F,6,603,Cluster 32,007703 3,007703,Precinct 107,38.8849264619,-76.9510245189,,2023/05/09 18:43:00+00,2023/05/09 19:43:00+00,334464532,
-77.0379946321014,38.93035158101,23073248,2023/05/10 14:26:37+00,DAY,OTHERS,THEFT/OTHER,3140 - 3172 BLOCK OF MOUNT PLEASANT STREET NW,396705.8,140274.4,1,1D,3,302,Cluster 2,002702 1,002702,Precinct 39,38.9303437881,-77.0379923349,,2023/05/10 12:50:00+00,2023/05/10 13:03:00+00,334464533,
-76.9955662664085,38.9013345319783,23073477,2023/05/10 21:47:33+00,EVENING,GUN,THEFT/OTHER,700 - 799 BLOCK OF I STREET NE,400384.79,137052.59,6,6A,5,501,Cluster 25,010602 2,010602,Precinct 83,38.9013267433,-76.9955639842,,2023/05/10 18:00:00+00,2023/05/10 21:30:00+00,334464534,
-76.9542730772171,38.9231487352753,23022243,2023/02/10 14:55:22+00,DAY,OTHERS,THEFT/OTHER,3619 - 3699 BLOCK OF HANSBERRY COURT NE,403965.44,139475.13,5,5C,5,503,Cluster 24,009000 2,009000,Precinct 139,38.9231409407,-76.9542708065,,2023/02/08 17:00:00+00,2023/02/08 21:00:00+00,334464661,
-77.0186655921924,38.9531793115033,23022282,2023/02/10 18:35:03+00,DAY,OTHERS,THEFT F/AUTO,400 - 499 BLOCK OF HAMILTON STREET NW,398382.28,142807.96,4,4D,4,403,Cluster 18,002102 5,002102,Precinct 56,38.9531715133,-77.0186632996,,2023/02/10 14:18:00+00,2023/02/10 14:34:00+00,334464662,
-77.0319533971768,38.9175628337259,23022496,2023/02/10 22:36:27+00,EVENING,OTHERS,THEFT F/AUTO,2000 - 2099 BLOCK OF 14TH STREET NW,397229.12,138854.54,1,1B,3,301,Cluster 3,004300 2,004300,Precinct 22,38.9175550432,-77.0319511026,,2023/02/05 04:00:00+00,2023/02/05 08:00:00+00,334464663,
-77.0035164637972,38.9078332788923,23023326,2023/02/12 09:56:21+00,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,1300 - 1399 BLOCK OF 2ND STREET NE,399695.2,137774,6,6E,5,501,Cluster 25,010601 2,010601,Precinct 144,38.9078254892,-77.0035141787,NOMA,2023/02/12 07:41:00+00,2023/02/12 07:45:00+00,334464664,
-77.0297293622934,38.9354354713034,23023854,2023/02/13 16:53:14+00,DAY,OTHERS,THEFT F/AUTO,3600 - 3699 BLOCK OF 13TH STREET NW,397422.64,140838.49,1,1A,4,408,Cluster 2,002900 2,002900,Precinct 42,38.9354276771,-77.0297270673,,2023/02/13 15:40:00+00,,334464665,
-77.0249506934564,38.9573782436073,23024275,2023/02/14 08:45:00+00,MIDNIGHT,OTHERS,THEFT F/AUTO,800 - 899 BLOCK OF LONGFELLOW STREET NW,397837.62,143274.21,4,4D,4,403,Cluster 18,002101 5,002101,Precinct 56,38.9573704448,-77.0249483986,,2023/02/12 07:00:00+00,2023/02/13 13:00:00+00,334464666,
-77.0628245946693,38.905609123613,23024498,2023/02/14 19:47:08+00,DAY,OTHERS,THEFT/OTHER,1200 - 1237 BLOCK OF WISCONSIN AVENUE NW,394550.98,137528.97,2,2E,2,206,Cluster 4,000102 3,000102,Precinct 5,38.9056013366,-77.0628222912,GEORGETOWN,2023/02/14 19:01:00+00,2023/02/14 19:34:00+00,334464667,
-76.9578929328885,38.8682880862476,23024865,2023/02/15 11:37:22+00,MIDNIGHT,OTHERS,THEFT/OTHER,3300 - 3345 BLOCK OF PENNSYLVANIA AVENUE SE,403654.350561344,133385.013497212,7,7B,6,605,Cluster 34,009901 2,009901,Precinct 109,38.8682803029,-76.9578906648,,2023/02/03 18:24:00+00,2023/02/15 11:30:00+00,334464668,
-76.9495580484362,38.8848455965678,23024949,2023/02/15 17:20:53+00,DAY,OTHERS,MOTOR VEHICLE THEFT,3700 - 3899 BLOCK OF D STREET SE,404376.656258014,135223.388282918,7,7F,6,603,Cluster 32,007703 3,007703,Precinct 107,38.8848378094,-76.949555782,,2023/02/15 14:13:00+00,2023/02/15 14:40:00+00,334464669,
-77.0190519879302,38.9752966676571,23013169,2023/01/25 16:13:32+00,DAY,OTHERS,THEFT F/AUTO,7000 - 7099 BLOCK OF BLAIR ROAD NW,398349.3,145263.2,4,4B,4,401,Cluster 17,001702 1,001702,Precinct 63,38.975288865,-77.0190496939,,2023/01/25 15:38:00+00,2023/01/25 15:44:00+00,334464670,
-77.0194555409113,38.9152308032128,23013656,2023/01/26 15:40:47+00,DAY,OTHERS,BURGLARY,500 - 599 BLOCK OF FLORIDA AVENUE NW,398312.91,138595.36,2,2G,3,306,Cluster 3,004801 2,004801,Precinct 21,38.9152230127,-77.0194532504,,2023/01/26 10:11:00+00,2023/01/26 14:05:00+00,334464671,
-76.9236231315964,38.8865483506669,23014141,2023/01/27 05:07:52+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,5334 - 5399 BLOCK OF CENTRAL AVENUE SE,406626.67,135413.97,7,7E,6,604,Cluster 33,009905 1,009905,Precinct 105,38.8865405623,-76.9236208727,,2023/01/27 02:40:00+00,,334464672,
-76.9943619166371,38.8266241728519,23014154,2023/01/27 07:36:41+00,MIDNIGHT,OTHERS,THEFT F/AUTO,700 - 860 BLOCK OF SOUTHERN AVENUE SE,400489.77,128759.2,8,8E,7,706,Cluster 39,009811 2,009811,Precinct 125,38.8266163993,-76.9943596393,,2023/01/27 04:12:00+00,2023/01/27 06:58:00+00,334464673,
-76.9931424855264,38.9222243975062,23015099,2023/01/28 21:23:33+00,EVENING,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,400594.86,139371.55,5,5C,5,505,Cluster 22,009102 4,009102,Precinct 72,38.9222166046,-76.9931402028,,2023/01/28 20:41:00+00,2023/01/28 20:42:00+00,334464674,
