+---------+--------------+-------------+
| Area_ID | Num of Crime | Num of Room |
+---------+--------------+-------------+
|    1    |     2365     |     102     |
|    2    |     943      |      26     |
|    3    |     582      |      7      |
|    4    |     1209     |      77     |
|    5    |     1545     |      48     |
|    6    |     4754     |     258     |
|    7    |     729      |     207     |
|    8    |     947      |      47     |
|    9    |     1548     |      74     |
|    10   |     2812     |     440     |
|    11   |     1633     |      96     |
|    12   |     320      |      55     |
|    13   |     101      |      12     |
|    14   |     3087     |     249     |
|    15   |     1451     |     213     |
|    16   |     2991     |     482     |
|    17   |     3963     |     239     |
|    18   |     1196     |      74     |
|    19   |     754      |      73     |
|    20   |     2978     |     339     |
|    21   |     522      |      32     |
|    22   |     810      |      62     |
|    23   |     2024     |     139     |
|    24   |     1192     |      82     |
|    25   |     250      |      24     |
|    26   |     499      |      34     |
|    27   |     797      |      41     |
|    28   |     765      |      20     |
|    29   |     654      |      41     |
|    30   |     1714     |      89     |
|    31   |     4870     |     720     |
|    32   |     1692     |     196     |
|    33   |     2832     |     511     |
|    34   |     4456     |     507     |
|    35   |     2308     |     113     |
|    36   |     1130     |      36     |
|    37   |     591      |      61     |
|    38   |     940      |      53     |
|    39   |     2612     |     576     |
+---------+--------------+-------------+
